Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
1,0:00,Objeto,truck,0.77,81558,"(284, 353, 698, 550)"
2,0:00,Objeto,truck,0.75,79928,"(289, 354, 701, 548)"
2,0:00,Objeto,car,0.49,3626,"(1127, 320, 1225, 357)"
2,0:00,Fuego,fire,0.2,285,"(386, 436, 405, 451)"
3,0:00,Objeto,truck,0.83,80535,"(292, 353, 705, 548)"
3,0:00,Objeto,car,0.5,3920,"(1127, 318, 1225, 358)"
4,0:00,Objeto,truck,0.81,79346,"(300, 354, 709, 548)"
4,0:00,Objeto,car,0.49,3822,"(1127, 319, 1225, 358)"
5,0:00,Objeto,truck,0.86,79152,"(305, 352, 713, 546)"
5,0:00,Objeto,car,0.45,3589,"(1127, 320, 1224, 357)"
6,0:00,Objeto,truck,0.87,79772,"(311, 351, 718, 547)"
6,0:00,Objeto,car,0.47,3515,"(1127, 320, 1222, 357)"
7,0:00,Objeto,truck,0.85,77586,"(318, 353, 720, 546)"
7,0:00,Objeto,car,0.48,3420,"(1127, 321, 1222, 357)"
8,0:00,Objeto,truck,0.87,76992,"(323, 353, 724, 545)"
8,0:00,Objeto,car,0.44,3290,"(1127, 322, 1221, 357)"
9,0:00,Objeto,truck,0.84,76416,"(330, 352, 728, 544)"
9,0:00,Objeto,car,0.4,3420,"(1128, 321, 1223, 357)"
10,0:00,Objeto,truck,0.83,75636,"(335, 352, 731, 543)"
10,0:00,Objeto,car,0.38,3290,"(1128, 321, 1222, 356)"
11,0:00,Objeto,truck,0.85,75063,"(340, 353, 733, 544)"
11,0:00,Objeto,car,0.38,3255,"(1128, 321, 1221, 356)"
12,0:00,Objeto,truck,0.78,75063,"(345, 352, 738, 543)"
12,0:00,Objeto,car,0.4,3492,"(1129, 321, 1226, 357)"
13,0:00,Objeto,truck,0.75,76048,"(348, 349, 740, 543)"
13,0:00,Objeto,car,0.42,3672,"(1129, 321, 1231, 357)"
14,0:00,Objeto,truck,0.73,75264,"(352, 350, 744, 542)"
14,0:00,Objeto,car,0.43,3774,"(1130, 320, 1232, 357)"
15,0:00,Objeto,bus,0.57,74290,"(356, 351, 747, 541)"
15,0:00,Objeto,truck,0.45,74880,"(357, 350, 747, 542)"
15,0:00,Objeto,car,0.39,4725,"(1130, 315, 1235, 360)"
16,0:00,Objeto,bus,0.61,74490,"(361, 350, 751, 541)"
16,0:00,Objeto,car,0.44,3978,"(1131, 318, 1233, 357)"
17,0:00,Objeto,truck,0.78,74304,"(367, 350, 754, 542)"
17,0:00,Objeto,car,0.5,3705,"(1132, 318, 1227, 357)"
18,0:00,Objeto,truck,0.8,73536,"(375, 349, 758, 541)"
18,0:00,Objeto,car,0.46,3600,"(1133, 318, 1223, 358)"
19,0:00,Objeto,truck,0.84,73536,"(379, 349, 762, 541)"
19,0:00,Objeto,car,0.49,3276,"(1133, 319, 1217, 358)"
20,0:00,Objeto,truck,0.83,72962,"(383, 349, 765, 540)"
20,0:00,Objeto,car,0.51,3354,"(1134, 319, 1220, 358)"
20,0:00,Objeto,car,0.42,4860,"(1134, 316, 1242, 361)"
21,0:00,Objeto,bus,0.77,72010,"(387, 350, 766, 540)"
21,0:00,Objeto,truck,0.52,72768,"(387, 348, 766, 540)"
21,0:00,Objeto,car,0.52,3268,"(1134, 320, 1220, 358)"
21,0:00,Objeto,car,0.41,5014,"(1134, 315, 1243, 361)"
22,0:00,Objeto,bus,0.77,69564,"(394, 352, 768, 538)"
22,0:00,Objeto,car,0.53,4017,"(1133, 320, 1236, 359)"
