Objeto,Confianza,Coordenadas
car,0.77,"(59, 260, 116, 292)"
car,0.65,"(559, 281, 631, 319)"
car,0.64,"(656, 416, 731, 454)"
car,0.64,"(96, 164, 151, 193)"
truck,0.49,"(462, 173, 566, 237)"
car,0.43,"(633, 297, 656, 314)"
truck,0.32,"(350, 181, 409, 223)"
car,0.77,"(645, 412, 719, 451)"
car,0.76,"(49, 258, 106, 290)"
car,0.65,"(96, 164, 151, 194)"
car,0.63,"(559, 281, 631, 319)"
car,0.49,"(632, 297, 656, 314)"
truck,0.43,"(463, 172, 566, 237)"
truck,0.32,"(350, 183, 409, 223)"
car,0.79,"(39, 257, 98, 288)"
car,0.78,"(633, 409, 707, 448)"
car,0.63,"(96, 164, 151, 193)"
car,0.61,"(559, 281, 633, 319)"
car,0.47,"(632, 297, 656, 314)"
truck,0.38,"(462, 173, 566, 236)"
car,0.84,"(623, 407, 697, 447)"
car,0.8,"(31, 254, 89, 286)"
car,0.62,"(559, 281, 632, 319)"
car,0.61,"(96, 164, 152, 194)"
car,0.46,"(632, 298, 655, 314)"
truck,0.41,"(462, 173, 566, 237)"
car,0.87,"(611, 404, 685, 443)"
car,0.83,"(22, 252, 80, 284)"
car,0.68,"(559, 280, 632, 319)"
car,0.63,"(96, 164, 151, 193)"
car,0.4,"(632, 298, 654, 314)"
truck,0.32,"(462, 173, 566, 236)"
car,0.8,"(600, 401, 672, 439)"
car,0.76,"(13, 250, 72, 281)"
car,0.66,"(95, 164, 151, 193)"
car,0.66,"(559, 281, 632, 319)"
truck,0.42,"(462, 173, 566, 236)"
car,0.33,"(631, 299, 654, 314)"
car,0.84,"(588, 398, 662, 437)"
car,0.7,"(6, 246, 62, 279)"
car,0.7,"(95, 164, 151, 194)"
car,0.65,"(560, 281, 631, 319)"
truck,0.5,"(462, 173, 566, 237)"
car,0.34,"(631, 300, 654, 314)"
car,0.82,"(578, 395, 651, 433)"
car,0.7,"(95, 163, 152, 194)"
car,0.68,"(559, 281, 632, 319)"
car,0.64,"(0, 239, 54, 277)"
truck,0.4,"(462, 172, 566, 237)"
car,0.33,"(631, 299, 655, 314)"
car,0.87,"(566, 393, 639, 431)"
car,0.69,"(95, 164, 152, 194)"
car,0.66,"(0, 238, 45, 275)"
car,0.62,"(559, 281, 631, 319)"
truck,0.45,"(462, 172, 566, 237)"
car,0.34,"(631, 298, 655, 314)"
car,0.77,"(556, 390, 629, 428)"
car,0.69,"(95, 164, 152, 194)"
car,0.63,"(559, 281, 631, 319)"
car,0.5,"(0, 237, 36, 272)"
truck,0.42,"(462, 172, 566, 237)"
car,0.35,"(631, 298, 654, 314)"
car,0.82,"(543, 387, 617, 425)"
car,0.68,"(94, 163, 152, 194)"
car,0.67,"(560, 280, 631, 319)"
car,0.48,"(0, 237, 26, 270)"
car,0.4,"(631, 297, 655, 314)"
truck,0.32,"(462, 172, 566, 236)"
car,0.84,"(535, 384, 605, 422)"
car,0.7,"(95, 163, 152, 194)"
car,0.65,"(560, 280, 631, 319)"
car,0.44,"(631, 298, 654, 314)"
car,0.83,"(523, 382, 595, 419)"
car,0.71,"(95, 164, 152, 194)"
car,0.67,"(560, 281, 630, 319)"
car,0.47,"(631, 298, 655, 314)"
car,0.79,"(512, 378, 584, 417)"
car,0.7,"(95, 164, 152, 194)"
car,0.67,"(560, 281, 630, 319)"
car,0.47,"(631, 299, 654, 314)"
car,0.81,"(502, 374, 573, 412)"
car,0.69,"(95, 164, 152, 194)"
car,0.66,"(560, 281, 630, 319)"
car,0.53,"(631, 299, 654, 314)"
car,0.31,"(802, 347, 851, 389)"
car,0.72,"(492, 372, 564, 409)"
car,0.71,"(95, 164, 152, 194)"
car,0.66,"(560, 281, 630, 319)"
car,0.51,"(631, 299, 654, 314)"
car,0.41,"(799, 348, 851, 386)"
car,0.78,"(480, 369, 552, 406)"
car,0.66,"(95, 165, 152, 194)"
car,0.64,"(559, 281, 631, 319)"
car,0.52,"(631, 299, 654, 314)"
car,0.36,"(798, 346, 851, 386)"
car,0.8,"(470, 367, 541, 405)"
car,0.7,"(95, 165, 152, 194)"
car,0.65,"(560, 281, 631, 319)"
car,0.48,"(631, 299, 654, 314)"
car,0.3,"(797, 346, 851, 387)"
car,0.8,"(459, 365, 530, 402)"
car,0.72,"(95, 165, 151, 194)"
car,0.66,"(560, 281, 631, 319)"
car,0.49,"(631, 299, 654, 314)"
car,0.79,"(449, 362, 518, 398)"
car,0.71,"(95, 165, 152, 194)"
car,0.65,"(559, 281, 631, 319)"
car,0.47,"(631, 299, 654, 314)"
car,0.32,"(795, 344, 851, 384)"
car,0.82,"(438, 360, 507, 396)"
car,0.71,"(95, 165, 152, 194)"
car,0.67,"(560, 281, 631, 319)"
car,0.49,"(631, 299, 654, 314)"
car,0.39,"(0, 390, 48, 440)"
car,0.32,"(793, 344, 851, 383)"
car,0.78,"(427, 356, 499, 393)"
car,0.69,"(559, 281, 631, 319)"
car,0.69,"(94, 165, 152, 194)"
car,0.57,"(631, 299, 654, 314)"
car,0.45,"(0, 396, 59, 443)"
car,0.37,"(793, 344, 851, 383)"
car,0.79,"(418, 353, 487, 390)"
car,0.68,"(94, 165, 152, 194)"
car,0.68,"(559, 281, 631, 319)"
car,0.61,"(631, 300, 654, 314)"
car,0.59,"(0, 389, 69, 446)"
car,0.37,"(791, 343, 851, 383)"
car,0.34,"(617, 449, 696, 479)"
car,0.7,"(408, 351, 477, 388)"
car,0.69,"(559, 281, 631, 319)"
car,0.64,"(94, 166, 152, 194)"
car,0.63,"(602, 445, 682, 477)"
car,0.56,"(630, 300, 655, 314)"
car,0.42,"(791, 343, 851, 382)"
car,0.37,"(8, 406, 79, 449)"
car,0.78,"(396, 349, 466, 384)"
car,0.71,"(587, 442, 665, 476)"
car,0.67,"(559, 281, 631, 319)"
car,0.66,"(94, 165, 152, 194)"
car,0.61,"(630, 300, 655, 314)"
car,0.59,"(20, 410, 89, 451)"
car,0.36,"(802, 342, 851, 381)"
car,0.81,"(387, 345, 456, 382)"
car,0.68,"(559, 281, 631, 319)"
car,0.66,"(94, 164, 152, 194)"
car,0.57,"(573, 438, 650, 477)"
car,0.55,"(31, 411, 100, 455)"
car,0.54,"(630, 300, 655, 314)"
car,0.32,"(802, 342, 851, 381)"
car,0.86,"(377, 343, 446, 380)"
car,0.68,"(559, 281, 631, 319)"
car,0.64,"(95, 164, 152, 194)"
car,0.62,"(36, 415, 109, 457)"
car,0.6,"(558, 435, 635, 475)"
car,0.54,"(630, 301, 656, 314)"
car,0.31,"(789, 341, 847, 383)"
car,0.8,"(367, 340, 435, 377)"
car,0.68,"(558, 281, 631, 319)"
car,0.63,"(94, 165, 152, 194)"
car,0.54,"(630, 300, 656, 314)"
car,0.52,"(46, 418, 119, 461)"
car,0.5,"(544, 431, 620, 472)"
car,0.39,"(786, 341, 851, 384)"
car,0.34,"(348, 186, 407, 223)"
car,0.84,"(356, 338, 425, 374)"
car,0.69,"(558, 281, 631, 319)"
car,0.63,"(94, 166, 152, 194)"
car,0.52,"(59, 421, 129, 463)"
car,0.48,"(630, 300, 655, 314)"
car,0.36,"(531, 427, 605, 468)"
car,0.35,"(785, 341, 851, 384)"
car,0.83,"(346, 335, 416, 371)"
car,0.66,"(558, 281, 631, 319)"
car,0.64,"(516, 423, 589, 465)"
car,0.61,"(94, 165, 152, 194)"
car,0.51,"(630, 300, 655, 314)"
car,0.44,"(66, 423, 140, 467)"
car,0.33,"(783, 341, 851, 384)"
car,0.86,"(336, 332, 405, 369)"
car,0.65,"(95, 164, 152, 194)"
car,0.62,"(500, 420, 576, 461)"
car,0.62,"(558, 281, 631, 319)"
car,0.48,"(629, 300, 656, 314)"
car,0.77,"(327, 330, 394, 366)"
car,0.65,"(94, 164, 152, 194)"
car,0.61,"(558, 281, 631, 319)"
car,0.48,"(629, 300, 656, 314)"
car,0.45,"(487, 415, 562, 457)"
car,0.33,"(782, 340, 851, 384)"
car,0.8,"(317, 328, 384, 363)"
car,0.64,"(94, 165, 152, 194)"
car,0.61,"(558, 281, 631, 319)"
car,0.57,"(473, 411, 546, 452)"
car,0.44,"(629, 300, 656, 314)"
car,0.43,"(102, 433, 170, 475)"
car,0.36,"(786, 340, 850, 381)"
car,0.77,"(308, 324, 376, 360)"
car,0.64,"(94, 165, 152, 194)"
car,0.6,"(559, 281, 631, 319)"
car,0.4,"(629, 300, 656, 314)"
car,0.4,"(788, 339, 850, 382)"
car,0.85,"(297, 321, 362, 357)"
car,0.64,"(95, 165, 152, 194)"
car,0.58,"(559, 281, 631, 319)"
car,0.36,"(629, 301, 656, 314)"
car,0.34,"(790, 339, 850, 381)"
car,0.32,"(344, 188, 407, 223)"
car,0.67,"(96, 165, 152, 194)"
car,0.61,"(286, 319, 352, 355)"
car,0.53,"(559, 281, 631, 319)"
truck,0.31,"(461, 172, 565, 237)"
car,0.73,"(276, 318, 342, 353)"
car,0.67,"(95, 164, 152, 194)"
car,0.51,"(558, 281, 631, 319)"
truck,0.32,"(461, 172, 565, 237)"
car,0.31,"(136, 442, 214, 478)"
car,0.81,"(266, 315, 333, 350)"
car,0.71,"(95, 165, 151, 194)"
car,0.56,"(558, 281, 630, 319)"
car,0.48,"(403, 394, 476, 435)"
car,0.79,"(258, 312, 322, 347)"
car,0.74,"(391, 391, 462, 430)"
car,0.71,"(95, 164, 151, 195)"
car,0.53,"(557, 281, 630, 319)"
car,0.81,"(248, 309, 314, 345)"
car,0.7,"(95, 165, 151, 195)"
car,0.62,"(376, 388, 449, 427)"
car,0.53,"(557, 281, 630, 319)"
car,0.76,"(238, 307, 305, 343)"
car,0.7,"(95, 165, 151, 195)"
car,0.66,"(364, 384, 435, 424)"
car,0.49,"(558, 281, 630, 319)"
car,0.31,"(629, 300, 655, 314)"
car,0.8,"(228, 305, 295, 340)"
car,0.71,"(95, 165, 151, 195)"
car,0.61,"(350, 381, 421, 420)"
car,0.55,"(558, 281, 630, 319)"
car,0.36,"(629, 300, 655, 313)"
car,0.82,"(219, 302, 283, 337)"
car,0.72,"(95, 165, 151, 195)"
car,0.72,"(336, 377, 408, 417)"
car,0.52,"(557, 281, 630, 319)"
car,0.45,"(772, 409, 851, 454)"
car,0.44,"(629, 300, 656, 314)"
car,0.83,"(209, 300, 275, 334)"
car,0.71,"(96, 165, 151, 195)"
car,0.63,"(324, 373, 394, 412)"
car,0.55,"(557, 281, 630, 319)"
car,0.49,"(762, 406, 849, 452)"
car,0.45,"(629, 300, 656, 314)"
car,0.77,"(201, 297, 266, 332)"
car,0.69,"(97, 165, 151, 195)"
car,0.59,"(309, 370, 381, 409)"
car,0.55,"(557, 281, 630, 319)"
car,0.47,"(630, 299, 656, 314)"
car,0.44,"(756, 404, 837, 449)"
car,0.88,"(191, 296, 256, 330)"
car,0.71,"(97, 165, 151, 195)"
car,0.55,"(558, 281, 630, 319)"
car,0.54,"(743, 400, 828, 446)"
car,0.47,"(629, 300, 656, 314)"
car,0.45,"(296, 366, 368, 405)"
car,0.85,"(181, 293, 247, 327)"
car,0.72,"(97, 165, 151, 195)"
car,0.6,"(558, 281, 630, 319)"
car,0.56,"(733, 398, 817, 443)"
car,0.52,"(284, 362, 357, 402)"
car,0.44,"(630, 300, 656, 313)"
car,0.81,"(173, 289, 236, 325)"
car,0.69,"(96, 165, 151, 195)"
car,0.6,"(558, 281, 631, 319)"
car,0.55,"(271, 357, 340, 398)"
car,0.43,"(630, 300, 657, 314)"
car,0.4,"(723, 396, 807, 441)"
car,0.74,"(163, 287, 227, 322)"
car,0.69,"(96, 165, 151, 195)"
car,0.58,"(557, 281, 631, 319)"
