Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
1,0:00,Objeto,person,0.4,1537,"(403, 0, 432, 53)"
2,0:00,Objeto,person,0.38,1508,"(402, 0, 431, 52)"
4,0:00,Objeto,person,0.38,1450,"(401, 2, 430, 52)"
5,0:00,Objeto,person,0.4,1508,"(400, 3, 429, 55)"
6,0:00,Fuego,fire,0.21,1260,"(752, 395, 794, 425)"
8,0:00,Objeto,person,0.38,1484,"(397, 5, 425, 58)"
8,0:00,Humo,smoke,0.21,802700,"(118, 22, 1268, 720)"
9,0:00,Objeto,person,0.4,1537,"(396, 7, 425, 60)"
10,0:00,Objeto,person,0.6,1537,"(395, 9, 424, 62)"
11,0:00,Objeto,person,0.65,1643,"(393, 11, 424, 64)"
11,0:00,Fuego,fire,0.21,1353,"(751, 409, 792, 442)"
12,0:00,Objeto,person,0.63,1566,"(392, 11, 421, 65)"
12,0:00,Humo,smoke,0.21,811057,"(115, 19, 1272, 720)"
13,0:00,Objeto,person,0.59,1484,"(392, 13, 420, 66)"
14,0:00,Objeto,person,0.48,1508,"(390, 15, 419, 67)"
15,0:00,Objeto,person,0.63,1566,"(390, 16, 419, 70)"
16,0:00,Objeto,person,0.66,1590,"(387, 19, 417, 72)"
17,0:00,Objeto,person,0.61,1537,"(387, 21, 416, 74)"
18,0:00,Objeto,person,0.61,1736,"(385, 22, 416, 78)"
19,0:00,Objeto,person,0.64,1650,"(384, 25, 414, 80)"
20,0:00,Objeto,person,0.59,1620,"(384, 28, 414, 82)"
21,0:00,Objeto,person,0.61,1590,"(383, 31, 413, 84)"
22,0:00,Objeto,person,0.61,1560,"(382, 36, 412, 88)"
23,0:00,Objeto,person,0.72,1674,"(381, 39, 412, 93)"
24,0:00,Objeto,person,0.69,1537,"(379, 44, 408, 97)"
24,0:00,Humo,smoke,0.21,758726,"(193, 22, 1280, 720)"
25,0:00,Objeto,person,0.72,1650,"(378, 47, 408, 102)"
25,0:00,Humo,smoke,0.2,757017,"(196, 21, 1279, 720)"
26,0:00,Objeto,person,0.6,1479,"(377, 55, 406, 106)"
26,0:00,Humo,smoke,0.22,761600,"(192, 20, 1280, 720)"
27,0:00,Objeto,person,0.64,1590,"(375, 60, 405, 113)"
27,0:00,Humo,smoke,0.22,763389,"(191, 19, 1280, 720)"
28,0:00,Objeto,person,0.57,1705,"(373, 63, 404, 118)"
29,0:00,Objeto,person,0.66,1484,"(372, 71, 400, 124)"
30,0:01,Objeto,person,0.64,1456,"(371, 79, 399, 131)"
31,0:01,Objeto,person,0.63,1508,"(368, 85, 397, 137)"
32,0:01,Objeto,person,0.62,1590,"(365, 91, 395, 144)"
34,0:01,Objeto,person,0.49,1560,"(361, 108, 391, 160)"
35,0:01,Humo,smoke,0.21,751699,"(189, 31, 1280, 720)"
36,0:01,Objeto,person,0.41,1530,"(357, 121, 387, 172)"
37,0:01,Objeto,person,0.51,1792,"(355, 127, 387, 183)"
38,0:01,Objeto,person,0.57,1530,"(353, 136, 383, 187)"
38,0:01,Humo,smoke,0.21,568632,"(463, 24, 1280, 720)"
39,0:01,Objeto,car,0.71,9118,"(1085, 1, 1279, 48)"
39,0:01,Objeto,person,0.59,1479,"(353, 143, 382, 194)"
39,0:01,Humo,smoke,0.21,563602,"(462, 31, 1280, 720)"
40,0:01,Objeto,car,0.74,10890,"(1079, 0, 1277, 55)"
40,0:01,Objeto,person,0.63,1560,"(350, 150, 380, 202)"
41,0:01,Objeto,car,0.79,12411,"(1077, 0, 1274, 63)"
41,0:01,Objeto,person,0.48,1508,"(349, 156, 378, 208)"
42,0:01,Objeto,car,0.8,14008,"(1073, 0, 1279, 68)"
42,0:01,Humo,smoke,0.2,721996,"(200, 49, 1276, 720)"
43,0:01,Objeto,car,0.8,15675,"(1071, 0, 1280, 75)"
43,0:01,Objeto,person,0.49,1479,"(347, 173, 376, 224)"
44,0:01,Objeto,car,0.74,17850,"(1069, 0, 1279, 85)"
44,0:01,Objeto,person,0.36,1479,"(347, 180, 376, 231)"
45,0:01,Objeto,car,0.75,19170,"(1066, 0, 1279, 90)"
45,0:01,Objeto,person,0.4,1500,"(345, 188, 375, 238)"
46,0:01,Objeto,car,0.67,21483,"(1063, 0, 1280, 99)"
46,0:01,Humo,smoke,0.21,645014,"(226, 98, 1263, 720)"
47,0:01,Objeto,car,0.74,23326,"(1062, 0, 1280, 107)"
47,0:01,Humo,smoke,0.21,498344,"(471, 104, 1280, 720)"
48,0:01,Objeto,car,0.66,25080,"(1060, 0, 1280, 114)"
48,0:01,Objeto,person,0.48,1508,"(345, 209, 374, 261)"
48,0:01,Humo,smoke,0.24,497954,"(469, 106, 1280, 720)"
49,0:01,Objeto,car,0.72,26962,"(1059, 0, 1280, 122)"
49,0:01,Objeto,person,0.44,1500,"(345, 219, 375, 269)"
49,0:01,Objeto,truck,0.36,27429,"(1056, 0, 1279, 123)"
49,0:01,Humo,smoke,0.23,496332,"(469, 108, 1280, 720)"
50,0:01,Objeto,truck,0.51,28990,"(1057, 0, 1280, 130)"
50,0:01,Objeto,car,0.48,28990,"(1057, 0, 1280, 130)"
51,0:01,Objeto,truck,0.49,31275,"(1054, 0, 1279, 139)"
51,0:01,Objeto,person,0.49,1550,"(345, 234, 376, 284)"
51,0:01,Objeto,car,0.47,30912,"(1056, 0, 1280, 138)"
51,0:01,Humo,smoke,0.23,478928,"(471, 128, 1280, 720)"
52,0:01,Objeto,person,0.5,1537,"(346, 240, 375, 293)"
52,0:01,Objeto,car,0.48,33152,"(1056, 0, 1280, 148)"
52,0:01,Objeto,truck,0.4,32781,"(1056, 1, 1279, 148)"
52,0:01,Humo,smoke,0.22,472535,"(475, 133, 1280, 720)"
53,0:01,Objeto,car,0.61,32996,"(1054, 10, 1280, 156)"
53,0:01,Objeto,person,0.51,1479,"(346, 250, 375, 301)"
53,0:01,Objeto,truck,0.36,33142,"(1053, 10, 1280, 156)"
53,0:01,Humo,smoke,0.24,474145,"(475, 131, 1280, 720)"
54,0:01,Objeto,car,0.49,33596,"(1053, 17, 1280, 165)"
54,0:01,Objeto,truck,0.45,33448,"(1053, 17, 1279, 165)"
54,0:01,Objeto,bench,0.42,58408,"(163, 105, 461, 301)"
54,0:01,Humo,smoke,0.29,471200,"(480, 131, 1280, 720)"
55,0:01,Objeto,truck,0.69,33892,"(1050, 28, 1279, 176)"
55,0:01,Objeto,person,0.49,1479,"(346, 267, 375, 318)"
55,0:01,Objeto,car,0.38,33957,"(1049, 28, 1280, 175)"
55,0:01,Humo,smoke,0.27,459425,"(481, 145, 1280, 720)"
56,0:01,Objeto,car,0.48,33580,"(1049, 37, 1279, 183)"
56,0:01,Objeto,truck,0.48,33726,"(1048, 38, 1279, 184)"
56,0:01,Objeto,bench,0.37,57600,"(164, 123, 464, 315)"
56,0:01,Humo,smoke,0.25,467252,"(484, 133, 1280, 720)"
57,0:01,Objeto,truck,0.63,33495,"(1047, 46, 1278, 191)"
57,0:01,Objeto,person,0.41,1508,"(346, 283, 375, 335)"
57,0:01,Humo,smoke,0.24,457942,"(478, 149, 1280, 720)"
58,0:01,Objeto,truck,0.61,33408,"(1047, 56, 1279, 200)"
58,0:01,Humo,smoke,0.22,447252,"(487, 156, 1280, 720)"
59,0:01,Objeto,truck,0.52,33495,"(1046, 64, 1277, 209)"
59,0:01,Objeto,person,0.44,1377,"(347, 300, 374, 351)"
59,0:01,Objeto,traffic light,0.39,540,"(745, 31, 763, 61)"
59,0:01,Humo,smoke,0.22,445912,"(478, 164, 1280, 720)"
60,0:02,Objeto,truck,0.49,32832,"(1046, 74, 1274, 218)"
60,0:02,Objeto,person,0.4,1450,"(347, 308, 376, 358)"
60,0:02,Humo,smoke,0.25,405812,"(478, 214, 1280, 720)"
61,0:02,Objeto,truck,0.64,32747,"(1044, 81, 1273, 224)"
61,0:02,Objeto,person,0.52,1400,"(347, 316, 375, 366)"
61,0:02,Humo,smoke,0.25,410550,"(475, 210, 1280, 720)"
62,0:02,Objeto,truck,0.52,32007,"(1042, 91, 1269, 232)"
62,0:02,Objeto,bench,0.36,54760,"(167, 183, 463, 368)"
62,0:02,Humo,smoke,0.34,399960,"(488, 215, 1280, 720)"
63,0:02,Objeto,truck,0.59,32175,"(1041, 98, 1266, 241)"
