Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
1,0:00,Objeto,car,0.77,1824,"(59, 260, 116, 292)"
1,0:00,Objeto,car,0.65,2736,"(559, 281, 631, 319)"
1,0:00,Objeto,car,0.64,2850,"(656, 416, 731, 454)"
1,0:00,Objeto,car,0.64,1595,"(96, 164, 151, 193)"
1,0:00,Objeto,truck,0.49,6656,"(462, 173, 566, 237)"
1,0:00,Objeto,car,0.43,391,"(633, 297, 656, 314)"
2,0:00,Objeto,car,0.77,2886,"(645, 412, 719, 451)"
2,0:00,Objeto,car,0.76,1824,"(49, 258, 106, 290)"
2,0:00,Objeto,car,0.65,1650,"(96, 164, 151, 194)"
2,0:00,Objeto,car,0.63,2736,"(559, 281, 631, 319)"
2,0:00,Objeto,car,0.49,408,"(632, 297, 656, 314)"
2,0:00,Objeto,truck,0.43,6695,"(463, 172, 566, 237)"
3,0:00,Objeto,car,0.79,1829,"(39, 257, 98, 288)"
3,0:00,Objeto,car,0.78,2886,"(633, 409, 707, 448)"
3,0:00,Objeto,car,0.63,1595,"(96, 164, 151, 193)"
3,0:00,Objeto,car,0.61,2812,"(559, 281, 633, 319)"
3,0:00,Objeto,car,0.47,408,"(632, 297, 656, 314)"
3,0:00,Objeto,truck,0.38,6552,"(462, 173, 566, 236)"
4,0:00,Objeto,car,0.84,2960,"(623, 407, 697, 447)"
4,0:00,Objeto,car,0.8,1856,"(31, 254, 89, 286)"
4,0:00,Objeto,car,0.62,2774,"(559, 281, 632, 319)"
4,0:00,Objeto,car,0.61,1680,"(96, 164, 152, 194)"
4,0:00,Objeto,car,0.46,368,"(632, 298, 655, 314)"
4,0:00,Objeto,truck,0.4,6552,"(462, 173, 566, 236)"
5,0:00,Objeto,car,0.87,2886,"(611, 404, 685, 443)"
5,0:00,Objeto,car,0.83,1856,"(22, 252, 80, 284)"
5,0:00,Objeto,car,0.68,2847,"(559, 280, 632, 319)"
5,0:00,Objeto,car,0.63,1595,"(96, 164, 151, 193)"
5,0:00,Objeto,car,0.4,352,"(632, 298, 654, 314)"
6,0:00,Objeto,car,0.8,2736,"(600, 401, 672, 439)"
6,0:00,Objeto,car,0.76,1829,"(13, 250, 72, 281)"
6,0:00,Objeto,car,0.66,1624,"(95, 164, 151, 193)"
6,0:00,Objeto,car,0.66,2774,"(559, 281, 632, 319)"
6,0:00,Objeto,truck,0.42,6552,"(462, 173, 566, 236)"
7,0:00,Objeto,car,0.84,2886,"(588, 398, 662, 437)"
7,0:00,Objeto,car,0.7,1848,"(6, 246, 62, 279)"
7,0:00,Objeto,car,0.7,1680,"(95, 164, 151, 194)"
7,0:00,Objeto,car,0.65,2698,"(560, 281, 631, 319)"
7,0:00,Objeto,truck,0.5,6656,"(462, 173, 566, 237)"
8,0:00,Objeto,car,0.82,2774,"(578, 395, 651, 433)"
8,0:00,Objeto,car,0.7,1767,"(95, 163, 152, 194)"
8,0:00,Objeto,car,0.68,2774,"(559, 281, 632, 319)"
8,0:00,Objeto,car,0.64,2052,"(0, 239, 54, 277)"
8,0:00,Objeto,truck,0.4,6760,"(462, 172, 566, 237)"
9,0:00,Objeto,car,0.87,2774,"(566, 393, 639, 431)"
9,0:00,Objeto,car,0.69,1710,"(95, 164, 152, 194)"
9,0:00,Objeto,car,0.66,1665,"(0, 238, 45, 275)"
9,0:00,Objeto,car,0.62,2736,"(559, 281, 631, 319)"
9,0:00,Objeto,truck,0.45,6760,"(462, 172, 566, 237)"
10,0:00,Objeto,car,0.77,2774,"(556, 390, 629, 428)"
10,0:00,Objeto,car,0.69,1710,"(95, 164, 152, 194)"
10,0:00,Objeto,car,0.63,2736,"(559, 281, 631, 319)"
10,0:00,Objeto,car,0.5,1260,"(0, 237, 36, 272)"
10,0:00,Objeto,truck,0.42,6760,"(462, 172, 566, 237)"
11,0:00,Objeto,car,0.82,2812,"(543, 387, 617, 425)"
11,0:00,Objeto,car,0.67,1798,"(94, 163, 152, 194)"
11,0:00,Objeto,car,0.67,2769,"(560, 280, 631, 319)"
11,0:00,Objeto,car,0.47,858,"(0, 237, 26, 270)"
11,0:00,Objeto,car,0.4,408,"(631, 297, 655, 314)"
12,0:00,Objeto,car,0.84,2660,"(535, 384, 605, 422)"
12,0:00,Objeto,car,0.7,1767,"(95, 163, 152, 194)"
12,0:00,Objeto,car,0.65,2769,"(560, 280, 631, 319)"
12,0:00,Objeto,car,0.43,368,"(631, 298, 654, 314)"
13,0:00,Objeto,car,0.83,2664,"(523, 382, 595, 419)"
13,0:00,Objeto,car,0.7,1710,"(95, 164, 152, 194)"
13,0:00,Objeto,car,0.67,2660,"(560, 281, 630, 319)"
13,0:00,Objeto,car,0.47,384,"(631, 298, 655, 314)"
14,0:00,Objeto,car,0.79,2808,"(512, 378, 584, 417)"
14,0:00,Objeto,car,0.7,1710,"(95, 164, 152, 194)"
14,0:00,Objeto,car,0.67,2660,"(560, 281, 630, 319)"
14,0:00,Objeto,car,0.47,345,"(631, 299, 654, 314)"
15,0:00,Objeto,car,0.81,2698,"(502, 374, 573, 412)"
