Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
1,0:00,Objeto,person,0.78,25990,"(222, 290, 335, 520)"
1,0:00,Objeto,person,0.74,27604,"(69, 277, 172, 545)"
1,0:00,Objeto,car,0.6,35796,"(510, 367, 738, 524)"
1,0:00,Objeto,person,0.59,236786,"(481, 9, 939, 526)"
1,0:00,Objeto,person,0.46,1690,"(1170, 294, 1196, 359)"
1,0:00,Objeto,person,0.42,166023,"(564, 54, 915, 527)"
1,0:00,Humo,smoke,0.48,83720,"(581, 60, 880, 340)"
2,0:00,Objeto,person,0.78,25760,"(222, 290, 334, 520)"
2,0:00,Objeto,person,0.74,27604,"(69, 277, 172, 545)"
2,0:00,Objeto,person,0.61,233684,"(481, 9, 933, 526)"
2,0:00,Objeto,car,0.58,35953,"(510, 367, 739, 524)"
2,0:00,Objeto,person,0.46,1600,"(1171, 295, 1196, 359)"
2,0:00,Objeto,person,0.38,164150,"(562, 59, 912, 528)"
2,0:00,Humo,smoke,0.51,73695,"(590, 76, 879, 331)"
3,0:00,Objeto,person,0.82,25536,"(80, 265, 176, 531)"
3,0:00,Objeto,person,0.64,20520,"(231, 296, 326, 512)"
3,0:00,Objeto,car,0.53,36814,"(521, 362, 754, 520)"
3,0:00,Objeto,person,0.52,1426,"(1190, 297, 1213, 359)"
3,0:00,Objeto,person,0.4,263676,"(440, 7, 951, 523)"
3,0:00,Humo,smoke,0.38,99831,"(590, 16, 901, 337)"
4,0:00,Objeto,person,0.8,25802,"(110, 244, 207, 510)"
4,0:00,Objeto,person,0.68,24192,"(263, 272, 375, 488)"
4,0:00,Objeto,car,0.57,45504,"(545, 309, 782, 501)"
4,0:00,Objeto,person,0.57,204768,"(514, 22, 946, 496)"
4,0:00,Objeto,person,0.36,2976,"(978, 256, 1010, 349)"
4,0:00,Humo,smoke,0.34,79499,"(622, 28, 899, 315)"
5,0:00,Objeto,person,0.81,26334,"(109, 244, 208, 510)"
5,0:00,Objeto,person,0.69,25194,"(263, 267, 377, 488)"
5,0:00,Objeto,car,0.58,39412,"(546, 334, 782, 501)"
5,0:00,Objeto,person,0.57,202444,"(515, 23, 943, 496)"
5,0:00,Humo,smoke,0.28,78391,"(604, 31, 881, 314)"
6,0:00,Objeto,person,0.81,200732,"(521, 25, 949, 494)"
6,0:00,Objeto,person,0.8,26136,"(118, 244, 217, 508)"
6,0:00,Objeto,person,0.67,24420,"(275, 263, 385, 485)"
6,0:00,Objeto,car,0.57,44415,"(557, 307, 792, 496)"
6,0:00,Humo,smoke,0.24,69165,"(627, 40, 892, 301)"
7,0:00,Objeto,person,0.82,202244,"(522, 28, 956, 494)"
7,0:00,Objeto,person,0.81,26765,"(116, 243, 217, 508)"
7,0:00,Objeto,person,0.67,23980,"(275, 265, 384, 485)"
7,0:00,Objeto,car,0.58,43710,"(557, 309, 792, 495)"
7,0:00,Humo,smoke,0.24,69412,"(628, 40, 896, 299)"
