Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
1,0:00,Objeto,traffic light,0.37,1298,"(987, 522, 1009, 581)"
2,0:00,Objeto,traffic light,0.43,1298,"(987, 521, 1009, 580)"
3,0:00,Objeto,traffic light,0.42,1298,"(987, 521, 1009, 580)"
4,0:00,Objeto,traffic light,0.44,1260,"(988, 521, 1009, 581)"
5,0:00,Objeto,traffic light,0.45,1200,"(989, 521, 1009, 581)"
6,0:00,Objeto,traffic light,0.38,1160,"(989, 521, 1009, 579)"
7,0:00,Objeto,traffic light,0.38,1160,"(989, 520, 1009, 578)"
8,0:00,Objeto,traffic light,0.39,1060,"(989, 519, 1009, 572)"
16,0:00,Objeto,traffic light,0.35,850,"(991, 517, 1008, 567)"
30,0:01,Objeto,traffic light,0.37,1218,"(987, 507, 1008, 565)"
41,0:01,Objeto,traffic light,0.5,1608,"(983, 493, 1007, 560)"
42,0:01,Objeto,traffic light,0.38,1536,"(983, 494, 1007, 558)"
43,0:01,Objeto,traffic light,0.5,1426,"(984, 495, 1007, 557)"
44,0:01,Objeto,traffic light,0.57,1512,"(983, 494, 1007, 557)"
45,0:01,Objeto,traffic light,0.42,1472,"(984, 494, 1007, 558)"
50,0:01,Objeto,traffic light,0.36,1512,"(983, 492, 1007, 555)"
52,0:01,Objeto,traffic light,0.39,1426,"(984, 491, 1007, 553)"
53,0:01,Objeto,traffic light,0.42,1342,"(984, 491, 1006, 552)"
54,0:01,Objeto,traffic light,0.49,1403,"(983, 491, 1006, 552)"
55,0:01,Objeto,traffic light,0.44,1298,"(984, 491, 1006, 550)"
56,0:01,Objeto,traffic light,0.42,1276,"(984, 491, 1006, 549)"
57,0:01,Objeto,traffic light,0.41,1320,"(984, 490, 1006, 550)"
58,0:01,Objeto,traffic light,0.39,1320,"(984, 490, 1006, 550)"
62,0:02,Objeto,traffic light,0.45,1675,"(981, 478, 1006, 545)"
63,0:02,Objeto,traffic light,0.53,1536,"(982, 481, 1006, 545)"
64,0:02,Objeto,traffic light,0.61,1495,"(983, 480, 1006, 545)"
65,0:02,Objeto,traffic light,0.7,1495,"(983, 480, 1006, 545)"
66,0:02,Objeto,traffic light,0.72,1518,"(983, 479, 1006, 545)"
67,0:02,Objeto,traffic light,0.68,1518,"(983, 479, 1006, 545)"
68,0:02,Objeto,traffic light,0.69,1518,"(983, 478, 1006, 544)"
69,0:02,Objeto,traffic light,0.76,1472,"(984, 479, 1007, 543)"
70,0:02,Objeto,traffic light,0.63,1430,"(984, 479, 1006, 544)"
71,0:02,Objeto,traffic light,0.48,1430,"(985, 479, 1007, 544)"
72,0:02,Objeto,traffic light,0.53,1408,"(985, 479, 1007, 543)"
74,0:02,Objeto,traffic light,0.5,1472,"(984, 478, 1007, 542)"
75,0:02,Objeto,traffic light,0.6,1449,"(984, 477, 1007, 540)"
76,0:02,Objeto,traffic light,0.59,1364,"(985, 477, 1007, 539)"
77,0:02,Objeto,traffic light,0.6,1281,"(986, 477, 1007, 538)"
78,0:02,Objeto,traffic light,0.47,1298,"(985, 477, 1007, 536)"
79,0:02,Objeto,train,0.4,665270,"(320, 2, 1257, 712)"
110,0:03,Objeto,traffic light,0.47,1426,"(982, 450, 1005, 512)"
111,0:03,Objeto,traffic light,0.36,1512,"(981, 449, 1005, 512)"
113,0:03,Objeto,traffic light,0.44,1518,"(982, 446, 1005, 512)"
121,0:04,Objeto,traffic light,0.47,1449,"(982, 444, 1005, 507)"
122,0:04,Objeto,traffic light,0.49,1449,"(982, 444, 1005, 507)"
123,0:04,Objeto,traffic light,0.37,1386,"(982, 443, 1004, 506)"
126,0:04,Objeto,traffic light,0.38,1342,"(983, 442, 1005, 503)"
127,0:04,Objeto,traffic light,0.36,1320,"(983, 442, 1005, 502)"
132,0:04,Objeto,traffic light,0.45,1608,"(981, 431, 1005, 498)"
133,0:04,Objeto,traffic light,0.37,1584,"(981, 432, 1005, 498)"
155,0:05,Objeto,traffic light,0.37,1536,"(983, 418, 1007, 482)"
339,0:11,Objeto,train,0.39,650010,"(334, 1, 1256, 706)"
340,0:11,Objeto,train,0.4,649305,"(333, 1, 1254, 706)"
341,0:11,Objeto,train,0.36,647895,"(335, 1, 1254, 706)"
397,0:13,Objeto,traffic light,0.37,1541,"(983, 382, 1006, 449)"
398,0:13,Objeto,traffic light,0.37,1608,"(982, 382, 1006, 449)"
399,0:13,Objeto,traffic light,0.4,1608,"(982, 382, 1006, 449)"
400,0:13,Objeto,traffic light,0.37,1608,"(982, 382, 1006, 449)"
401,0:13,Objeto,traffic light,0.39,1608,"(982, 382, 1006, 449)"
402,0:13,Objeto,traffic light,0.36,1632,"(982, 382, 1006, 450)"
405,0:13,Objeto,traffic light,0.39,1608,"(982, 382, 1006, 449)"
406,0:13,Objeto,traffic light,0.37,1584,"(982, 383, 1006, 449)"
407,0:13,Objeto,traffic light,0.36,1608,"(982, 382, 1006, 449)"
418,0:13,Objeto,traffic light,0.36,1518,"(982, 383, 1005, 449)"
419,0:13,Objeto,traffic light,0.36,1518,"(982, 383, 1005, 449)"
420,0:14,Objeto,traffic light,0.36,1541,"(982, 382, 1005, 449)"
421,0:14,Objeto,traffic light,0.38,1518,"(982, 383, 1005, 449)"
422,0:14,Objeto,traffic light,0.38,1541,"(982, 382, 1005, 449)"
465,0:15,Objeto,traffic light,0.39,1430,"(983, 384, 1005, 449)"
