Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
1,0:00,Objeto,car,0.76,1170,"(439, 337, 478, 367)"
1,0:00,Objeto,car,0.74,2419,"(411, 440, 470, 481)"
1,0:00,Objeto,car,0.71,13340,"(0, 597, 145, 689)"
1,0:00,Objeto,car,0.64,3403,"(778, 431, 861, 472)"
1,0:00,Objeto,car,0.6,1053,"(896, 388, 935, 415)"
1,0:00,Objeto,car,0.59,3735,"(512, 441, 595, 486)"
1,0:00,Objeto,car,0.59,4067,"(526, 481, 609, 530)"
1,0:00,Objeto,car,0.57,1568,"(1217, 404, 1273, 432)"
1,0:00,Objeto,car,0.56,2562,"(345, 444, 406, 486)"
1,0:00,Objeto,car,0.54,7280,"(184, 545, 288, 615)"
1,0:00,Objeto,car,0.53,875,"(779, 351, 814, 376)"
1,0:00,Objeto,car,0.52,12604,"(290, 511, 427, 603)"
1,0:00,Objeto,car,0.49,2205,"(980, 441, 1043, 476)"
1,0:00,Objeto,car,0.43,1634,"(829, 392, 872, 430)"
1,0:00,Objeto,car,0.42,18212,"(930, 598, 1087, 714)"
1,0:00,Objeto,car,0.41,1482,"(381, 391, 420, 429)"
2,0:00,Objeto,car,0.77,1178,"(439, 337, 477, 368)"
2,0:00,Objeto,car,0.74,2360,"(413, 441, 472, 481)"
2,0:00,Objeto,car,0.7,13195,"(0, 598, 145, 689)"
2,0:00,Objeto,car,0.7,3120,"(781, 432, 861, 471)"
2,0:00,Objeto,car,0.65,1107,"(895, 387, 936, 414)"
2,0:00,Objeto,car,0.59,4165,"(529, 482, 614, 531)"
2,0:00,Objeto,car,0.59,875,"(778, 351, 813, 376)"
2,0:00,Objeto,car,0.57,2604,"(345, 444, 407, 486)"
2,0:00,Objeto,car,0.53,7350,"(184, 545, 289, 615)"
2,0:00,Objeto,car,0.53,11880,"(292, 512, 427, 600)"
2,0:00,Objeto,car,0.52,4080,"(515, 441, 600, 489)"
2,0:00,Objeto,car,0.51,1568,"(1218, 404, 1274, 432)"
2,0:00,Objeto,car,0.5,2170,"(979, 441, 1041, 476)"
2,0:00,Objeto,car,0.44,1560,"(379, 391, 419, 430)"
2,0:00,Objeto,car,0.4,1645,"(831, 398, 878, 433)"
2,0:00,Objeto,car,0.39,17632,"(937, 601, 1089, 717)"
2,0:00,Objeto,car,0.39,1804,"(828, 388, 872, 429)"
2,0:00,Objeto,car,0.37,528,"(487, 320, 511, 342)"
3,0:00,Objeto,car,0.8,1140,"(439, 338, 477, 368)"
3,0:00,Objeto,car,0.74,3239,"(784, 431, 863, 472)"
3,0:00,Objeto,car,0.7,13195,"(0, 598, 145, 689)"
3,0:00,Objeto,car,0.68,2400,"(415, 441, 475, 481)"
3,0:00,Objeto,car,0.63,988,"(896, 387, 934, 413)"
3,0:00,Objeto,car,0.63,4032,"(531, 482, 615, 530)"
3,0:00,Objeto,car,0.62,1512,"(1220, 403, 1274, 431)"
3,0:00,Objeto,car,0.61,2542,"(345, 445, 407, 486)"
3,0:00,Objeto,car,0.59,850,"(777, 351, 811, 376)"
3,0:00,Objeto,car,0.58,2135,"(978, 440, 1039, 475)"
3,0:00,Objeto,car,0.58,3825,"(518, 443, 603, 488)"
3,0:00,Objeto,car,0.54,16498,"(941, 604, 1087, 717)"
3,0:00,Objeto,car,0.53,11837,"(293, 512, 426, 601)"
3,0:00,Objeto,car,0.51,7668,"(183, 545, 291, 616)"
3,0:00,Objeto,car,0.41,1482,"(380, 391, 418, 430)"
3,0:00,Objeto,car,0.41,462,"(488, 321, 510, 342)"
3,0:00,Objeto,car,0.4,1160,"(832, 400, 872, 429)"
3,0:00,Objeto,car,0.37,1443,"(819, 379, 858, 416)"
4,0:00,Objeto,car,0.81,3120,"(787, 431, 865, 471)"
4,0:00,Objeto,car,0.76,1170,"(437, 338, 476, 368)"
4,0:00,Objeto,car,0.71,1512,"(1220, 402, 1274, 430)"
4,0:00,Objeto,car,0.69,13195,"(0, 598, 145, 689)"
4,0:00,Objeto,car,0.65,2562,"(416, 440, 477, 482)"
4,0:00,Objeto,car,0.64,999,"(896, 386, 933, 413)"
4,0:00,Objeto,car,0.63,15369,"(946, 607, 1087, 716)"
4,0:00,Objeto,car,0.62,3870,"(520, 443, 606, 488)"
4,0:00,Objeto,car,0.59,2065,"(977, 438, 1036, 473)"
4,0:00,Objeto,car,0.59,2604,"(346, 445, 408, 487)"
4,0:00,Objeto,car,0.59,3888,"(534, 483, 615, 531)"
