Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
1,0:00,Objeto,person,0.9,102672,"(436, 298, 684, 712)"
2,0:00,Objeto,person,0.91,101844,"(438, 298, 684, 712)"
3,0:00,Objeto,person,0.91,101430,"(440, 299, 685, 713)"
4,0:00,Objeto,person,0.91,101260,"(442, 299, 686, 714)"
5,0:00,Objeto,person,0.91,100015,"(445, 299, 686, 714)"
6,0:00,Objeto,person,0.91,99120,"(447, 300, 687, 713)"
7,0:00,Objeto,person,0.91,98946,"(450, 300, 689, 714)"
8,0:00,Objeto,person,0.91,98532,"(452, 300, 690, 714)"
9,0:00,Objeto,person,0.9,97055,"(454, 300, 689, 713)"
10,0:00,Objeto,person,0.91,96820,"(456, 301, 691, 713)"
11,0:00,Objeto,person,0.91,95172,"(459, 302, 690, 714)"
12,0:00,Objeto,person,0.92,94348,"(462, 302, 691, 714)"
13,0:00,Objeto,person,0.92,93297,"(464, 303, 691, 714)"
14,0:00,Objeto,person,0.92,92475,"(466, 303, 691, 714)"
15,0:00,Objeto,person,0.92,91052,"(470, 303, 691, 715)"
16,0:00,Objeto,person,0.92,90420,"(471, 303, 691, 714)"
17,0:00,Objeto,person,0.93,89187,"(474, 303, 691, 714)"
18,0:00,Objeto,person,0.92,88992,"(475, 303, 691, 715)"
19,0:00,Objeto,person,0.91,87330,"(477, 304, 690, 714)"
20,0:00,Objeto,person,0.91,87344,"(478, 303, 690, 715)"
21,0:00,Objeto,person,0.91,85488,"(482, 304, 690, 715)"
22,0:00,Objeto,person,0.91,85284,"(483, 303, 690, 715)"
23,0:00,Objeto,person,0.91,84255,"(485, 303, 690, 714)"
24,0:00,Objeto,person,0.91,84048,"(486, 303, 690, 715)"
25,0:00,Objeto,person,0.91,83022,"(487, 304, 689, 715)"
26,0:00,Objeto,person,0.9,81807,"(488, 307, 689, 714)"
27,0:00,Objeto,person,0.9,80000,"(489, 315, 689, 715)"
28,0:00,Objeto,person,0.9,78012,"(490, 319, 687, 715)"
29,0:00,Objeto,person,0.9,77420,"(491, 320, 687, 715)"
30,0:01,Objeto,person,0.9,76050,"(492, 325, 687, 715)"
31,0:01,Objeto,person,0.91,74305,"(492, 330, 685, 715)"
32,0:01,Objeto,person,0.92,72962,"(493, 333, 684, 715)"
33,0:01,Objeto,person,0.91,72007,"(494, 337, 685, 714)"
34,0:01,Objeto,person,0.91,70308,"(494, 342, 683, 714)"
35,0:01,Objeto,person,0.92,69184,"(494, 347, 682, 715)"
36,0:01,Objeto,person,0.91,67704,"(495, 351, 681, 715)"
37,0:01,Objeto,person,0.88,66588,"(494, 357, 680, 715)"
38,0:01,Objeto,person,0.88,64400,"(496, 364, 680, 714)"
39,0:01,Objeto,person,0.89,64380,"(495, 367, 680, 715)"
40,0:01,Objeto,person,0.88,63640,"(496, 371, 681, 715)"
40,0:01,Objeto,car,0.36,4181,"(105, 369, 218, 406)"
41,0:01,Objeto,person,0.88,62192,"(496, 377, 680, 715)"
42,0:01,Objeto,person,0.89,61305,"(497, 379, 680, 714)"
43,0:01,Objeto,person,0.89,60120,"(498, 380, 678, 714)"
44,0:01,Objeto,person,0.89,60273,"(498, 382, 679, 715)"
45,0:01,Objeto,person,0.88,60092,"(498, 383, 679, 715)"
46,0:01,Objeto,person,0.86,59760,"(498, 383, 678, 715)"
47,0:01,Objeto,person,0.88,59580,"(498, 384, 678, 715)"
48,0:01,Objeto,person,0.87,59911,"(498, 384, 679, 715)"
48,0:01,Objeto,car,0.47,2208,"(872, 335, 941, 367)"
49,0:01,Objeto,person,0.87,59730,"(498, 385, 679, 715)"
49,0:01,Objeto,car,0.56,2370,"(872, 337, 951, 367)"
50,0:01,Objeto,person,0.87,58891,"(499, 386, 678, 715)"
50,0:01,Objeto,car,0.7,3196,"(871, 335, 965, 369)"
51,0:01,Objeto,person,0.87,58860,"(499, 387, 679, 714)"
51,0:01,Objeto,car,0.71,3850,"(869, 335, 979, 370)"
52,0:01,Objeto,person,0.87,58175,"(500, 389, 679, 714)"
52,0:01,Objeto,car,0.61,3584,"(876, 336, 988, 368)"
53,0:01,Objeto,person,0.88,57171,"(500, 391, 677, 714)"
53,0:01,Objeto,car,0.68,4114,"(884, 335, 1005, 369)"
54,0:01,Objeto,person,0.87,56320,"(500, 394, 676, 714)"
54,0:01,Objeto,car,0.59,3861,"(898, 336, 1015, 369)"
55,0:01,Objeto,person,0.87,56672,"(500, 392, 676, 714)"
55,0:01,Objeto,car,0.49,4366,"(912, 335, 1030, 372)"
56,0:01,Objeto,person,0.87,56175,"(501, 393, 676, 714)"
56,0:01,Objeto,car,0.61,4284,"(925, 336, 1044, 372)"
57,0:01,Objeto,person,0.86,55680,"(502, 394, 676, 714)"
57,0:01,Objeto,car,0.58,4130,"(936, 338, 1054, 373)"
58,0:01,Objeto,person,0.86,55187,"(502, 397, 675, 716)"
58,0:01,Objeto,car,0.55,4235,"(945, 340, 1066, 375)"
59,0:01,Objeto,person,0.85,54984,"(502, 398, 676, 714)"
59,0:01,Objeto,car,0.53,3885,"(961, 342, 1072, 377)"
60,0:02,Objeto,person,0.87,54180,"(503, 401, 675, 716)"
60,0:02,Objeto,car,0.4,2697,"(975, 345, 1062, 376)"
61,0:02,Objeto,person,0.88,53181,"(504, 406, 675, 717)"
61,0:02,Objeto,car,0.47,3663,"(984, 345, 1083, 382)"
62,0:02,Objeto,person,0.87,52497,"(504, 410, 675, 717)"
62,0:02,Objeto,car,0.49,3132,"(994, 348, 1081, 384)"
63,0:02,Objeto,person,0.87,51340,"(504, 415, 674, 717)"
63,0:02,Objeto,car,0.47,2625,"(1009, 351, 1084, 386)"
64,0:02,Objeto,person,0.87,50660,"(504, 419, 674, 717)"
65,0:02,Objeto,person,0.86,49640,"(504, 425, 674, 717)"
66,0:02,Objeto,person,0.85,48790,"(504, 430, 674, 717)"
66,0:02,Objeto,car,0.47,2108,"(102, 412, 170, 443)"
67,0:02,Objeto,person,0.85,47880,"(503, 437, 674, 717)"
67,0:02,Objeto,car,0.41,2346,"(93, 418, 162, 452)"
68,0:02,Objeto,person,0.84,46683,"(502, 443, 673, 716)"
68,0:02,Objeto,car,0.46,1848,"(92, 426, 158, 454)"
69,0:02,Objeto,person,0.82,45845,"(500, 451, 673, 716)"
70,0:02,Objeto,person,0.82,44460,"(501, 457, 672, 717)"
71,0:02,Objeto,person,0.86,43434,"(500, 464, 671, 718)"
72,0:02,Objeto,person,0.88,41211,"(499, 476, 670, 717)"
73,0:02,Objeto,person,0.87,40655,"(497, 482, 670, 717)"
73,0:02,Objeto,car,0.6,3007,"(523, 441, 620, 472)"
74,0:02,Objeto,person,0.85,39550,"(496, 491, 671, 717)"
75,0:02,Objeto,person,0.85,38628,"(495, 496, 669, 718)"
75,0:02,Objeto,car,0.37,2880,"(543, 454, 633, 486)"
76,0:02,Objeto,person,0.84,37410,"(495, 503, 669, 718)"
77,0:02,Objeto,person,0.83,36192,"(494, 510, 668, 718)"
78,0:02,Objeto,person,0.82,35700,"(493, 513, 668, 717)"
79,0:02,Objeto,person,0.83,34650,"(493, 519, 668, 717)"
80,0:02,Objeto,person,0.85,33950,"(492, 523, 667, 717)"
81,0:02,Objeto,person,0.84,33775,"(491, 524, 666, 717)"
82,0:02,Objeto,person,0.86,33234,"(491, 526, 665, 717)"
83,0:02,Objeto,person,0.87,33043,"(491, 526, 664, 717)"
84,0:02,Objeto,person,0.86,33043,"(491, 526, 664, 717)"
85,0:02,Objeto,person,0.87,33024,"(490, 525, 662, 717)"
86,0:02,Objeto,person,0.89,33368,"(490, 523, 662, 717)"
87,0:02,Objeto,person,0.89,34542,"(490, 515, 661, 717)"
88,0:02,Objeto,person,0.89,34138,"(490, 515, 659, 717)"
89,0:02,Objeto,person,0.89,34608,"(490, 511, 658, 717)"
90,0:03,Objeto,person,0.88,35026,"(490, 506, 656, 717)"
91,0:03,Objeto,person,0.87,35970,"(490, 500, 655, 718)"
92,0:03,Objeto,person,0.86,36675,"(491, 493, 654, 718)"
93,0:03,Objeto,person,0.88,38142,"(490, 483, 653, 717)"
94,0:03,Objeto,person,0.87,38880,"(490, 477, 652, 717)"
95,0:03,Objeto,person,0.89,40386,"(491, 464, 650, 718)"
