Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
1,0:00,Objeto,person,0.59,1922,"(583, 366, 614, 428)"
2,0:00,Objeto,person,0.62,2210,"(584, 366, 618, 431)"
3,0:00,Objeto,person,0.65,2046,"(586, 368, 619, 430)"
4,0:00,Objeto,person,0.63,1922,"(589, 369, 620, 431)"
5,0:00,Objeto,person,0.56,1855,"(587, 371, 622, 424)"
6,0:00,Objeto,person,0.56,1666,"(588, 373, 622, 422)"
6,0:00,Objeto,person,0.3,2394,"(581, 374, 623, 431)"
7,0:00,Objeto,person,0.52,1911,"(585, 376, 624, 425)"
7,0:00,Objeto,person,0.45,2736,"(578, 376, 626, 433)"
8,0:00,Objeto,person,0.53,1813,"(586, 377, 623, 426)"
8,0:00,Objeto,person,0.43,2622,"(580, 378, 626, 435)"
8,0:00,Objeto,boat,0.33,13520,"(406, 125, 536, 229)"
9,0:00,Objeto,person,0.4,2655,"(582, 379, 627, 438)"
9,0:00,Objeto,person,0.39,1435,"(588, 379, 623, 420)"
9,0:00,Objeto,boat,0.35,13158,"(406, 125, 535, 227)"
10,0:00,Objeto,person,0.5,2881,"(582, 381, 625, 448)"
15,0:00,Objeto,donut,0.3,7272,"(242, 274, 343, 346)"
17,0:00,Objeto,donut,0.35,7446,"(240, 274, 342, 347)"
23,0:00,Objeto,person,0.42,2184,"(563, 417, 605, 469)"
24,0:00,Objeto,person,0.43,2537,"(561, 418, 604, 477)"
29,0:00,Objeto,person,0.36,3655,"(552, 423, 595, 508)"
30,0:01,Objeto,person,0.36,4136,"(550, 423, 597, 511)"
31,0:01,Objeto,person,0.33,3360,"(552, 429, 592, 513)"
32,0:01,Objeto,person,0.36,2210,"(554, 436, 588, 501)"
33,0:01,Objeto,person,0.3,1680,"(553, 444, 588, 492)"
34,0:01,Objeto,person,0.54,3042,"(548, 449, 587, 527)"
35,0:01,Objeto,person,0.49,2664,"(549, 452, 586, 524)"
35,0:01,Objeto,person,0.39,4758,"(547, 452, 608, 530)"
36,0:01,Objeto,person,0.47,2698,"(547, 456, 585, 527)"
37,0:01,Objeto,person,0.56,3078,"(546, 457, 584, 538)"
38,0:01,Objeto,person,0.57,3567,"(543, 459, 584, 546)"
39,0:01,Objeto,person,0.51,3560,"(543, 462, 583, 551)"
